Date,CPI_Index,CPI_Inflation_MoM,CPI_Inflation_YOY,PPI_Index,PPI_Chang_MoM,PPI_Chang_YoY,FX_Interbank_USD,FX_Forex_USD,UVI_Export,UVI_Import,PolicyRate,TBill91d,Oil_Brent_USD,Gold_USD
5/1/2016 0:00,63.4,1.1,18.9,74.6,0.6,11,3.81,3.85,98.2,99.5,26,22.8,48.3,1265
6/1/2016 0:00,64.3,1.3,18.4,75.5,1.2,7.6,3.88,3.92,98,99.8,26,22.8,50.3,1275.2
7/1/2016 0:00,64.8,0.9,16.7,76.2,1,10.4,3.94,3.95,97.8,100.1,26,22.8,46.8,1338.3
8/1/2016 0:00,64.4,-0.6,16.9,73.7,-3.3,11,3.95,3.96,97.5,100.3,26,22.8,47.2,1341.8
9/1/2016 0:00,64.5,0.2,17.2,74.3,0.8,9.7,3.96,3.97,97.3,100.6,26,22.9,45.9,1326.7
10/1/2016 0:00,65.4,1.4,15.8,74,-0.5,9.7,3.97,3.99,97.1,100.9,26,22.8,49.3,1271
11/1/2016 0:00,66,0.8,15.5,74.9,1.2,11.9,3.97,4.09,96.9,101.2,25.5,20.9,47.3,1249.4
12/1/2016 0:00,66.6,0.9,15.4,74.4,-0.7,4.8,4.09,4.25,96.6,101.4,25.5,16.8,52.8,1170.6
1/1/2017 0:00,68.4,2.8,13.3,75.9,2.1,3.1,4.24,4.3,96.4,101.7,25.5,16.2,55,1200.2
2/1/2017 0:00,68.9,0.6,13.2,77.6,2.2,5.4,4.37,4.42,97.1,102,25.5,15.9,55.8,1229.7
3/1/2017 0:00,69.7,1.3,12.8,78.7,1.4,6,4.48,4.55,97.8,102.3,23.5,16.9,52.1,1230.1
4/1/2017 0:00,70.9,1.6,13,77.4,-1.6,4.4,4.2,4.32,98.5,102.6,23.5,16.5,54.5,1264.4
5/1/2017 0:00,71.4,0.7,12.6,77.4,-0.1,3.7,4.24,4.35,99.2,102.9,22.5,13.8,48.4,1245.9
6/1/2017 0:00,72,0.9,12.1,77.9,0.7,3.2,4.33,4.4,99.9,103.2,22.5,12.1,45.8,1262.4
7/1/2017 0:00,72.5,0.6,11.9,77.8,-0.2,2,4.37,4.43,100.6,103.5,21,12.3,47,1230.6
8/1/2017 0:00,72.4,-0.2,12.3,78.6,1,6.6,4.39,4.44,101.2,103.7,21,12.7,52,1280.1
9/1/2017 0:00,72.4,0,12.2,79.9,1.7,7.5,4.4,4.46,101.9,104,21,13.2,55.4,1314
10/1/2017 0:00,73,0.9,11.6,80.1,0.2,8.3,4.38,4.45,102.6,104.3,21,13.2,55.2,1280.9
11/1/2017 0:00,73.7,0.9,11.7,80.2,0.1,7.1,4.4,4.53,103.3,104.6,20,13.2,63.4,1280.9
12/1/2017 0:00,74.5,1,11.8,80.8,0.8,8.7,4.41,4.59,104,104.9,20,13.3,63.7,1265.5
1/1/2018 0:00,75.5,1.4,10.3,81.8,1.2,7.7,4.42,4.59,104.7,105.2,20,13.3,68.64,1335.53
2/1/2018 0:00,75.7,0.2,9.9,81.9,0.1,5.5,4.42,4.53,104.6,105.1,20,13.3,67.48,1328.84
3/1/2018 0:00,76,0.4,9,81.6,-0.3,3.7,4.41,4.49,104.6,105,18,13.4,66.02,1345.01
4/1/2018 0:00,76.5,0.7,8,82.4,0.9,6.4,4.41,4.46,104.5,104.9,18,13.3,71.92,1345.43
5/1/2018 0:00,76.9,0.6,7.8,82.9,0.7,7.1,4.42,4.57,104.4,104.7,17,13.3,77.45,1320.52
6/1/2018 0:00,77.4,0.6,7.5,83.9,1.2,7.7,4.46,4.68,104.3,104.6,17,13.3,75.08,1296.84
7/1/2018 0:00,77.7,0.4,7.2,84.1,0.2,8.2,4.65,4.77,104.3,104.5,17,13.3,75.32,1249.83
8/1/2018 0:00,77.9,0.2,7.6,84,-0.1,7,4.71,4.81,104.2,104.4,17,13.4,73.45,1205.43
9/1/2018 0:00,77.9,0.1,7.7,84.5,0.6,5.8,4.76,4.91,104.1,104.3,17,13.4,78.4,1212.04
10/1/2018 0:00,78.2,0.3,7,85.9,1.6,7.2,4.79,4.89,104,104.2,17,13.5,80.71,1232.71
11/1/2018 0:00,78.4,0.3,6.3,85.4,-0.6,6.5,4.79,4.88,104,104,17,14,67.64,1236.1
12/1/2018 0:00,78.8,0.5,5.8,84.4,-1.2,4.4,4.81,4.95,103.9,103.9,17,14.5,57.59,1254.15
1/1/2019 0:00,79.9,1.5,5.9,84.6,0.3,3.4,4.89,4.99,103.8,103.8,16,14.7,60.2,1290.11
2/1/2019 0:00,80.3,0.4,6.1,86.3,2,5.4,5.02,5.14,103.9,103.9,16,14.7,65.49,1319.03
3/1/2019 0:00,80.9,0.8,6.5,87.4,1.3,7.1,5.18,5.36,103.9,104,16,14.7,67.48,1298.85
4/1/2019 0:00,81.4,0.6,6.5,88.2,0.9,7.1,5.09,5.22,104,104.1,16,14.7,71.2,1283.59
5/1/2019 0:00,82.3,1.1,7,88.4,0.2,6.7,5.11,5.25,104.1,104.2,16,14.9,70.37,1273.79
6/1/2019 0:00,83.2,1.1,7.5,89.9,1.6,7.1,5.24,5.39,104.1,104.3,16,14.8,63.57,1357.64
7/1/2019 0:00,83.5,0.3,7.5,91.5,1.9,8.8,5.26,5.39,104.2,104.5,16,14.7,64.54,1407.61
8/1/2019 0:00,83.9,0.4,7.7,92.6,1.2,10.2,5.27,5.42,104.3,104.6,16,14.7,59.24,1492.12
9/1/2019 0:00,83.8,0,7.5,92.2,-0.5,9.1,5.31,5.51,104.3,104.7,16,14.7,61.38,1502.13
10/1/2019 0:00,84.1,0.3,7.6,93.6,1.5,8.9,5.32,5.49,104.4,104.8,16,14.7,59.79,1490.59
11/1/2019 0:00,84.7,0.6,8,93.9,0.3,9.9,5.39,5.57,104.5,104.9,16,14.7,62.91,1469.15
12/1/2019 0:00,84.9,0.3,7.8,95.3,1.5,13,5.54,5.73,104.5,105,16,14.7,64.96,1480.06
1/1/2020 0:00,86.1,1.5,7.7,96.8,1.6,14.5,5.53,5.73,104.6,105.1,16,14.7,65.79,1553.5
2/1/2020 0:00,86.5,0.4,7.7,95.3,-1.5,10.5,5.32,5.44,106.5,106.1,16,14.7,55.14,1601.8
3/1/2020 0:00,87.2,0.8,7.7,93.4,-2.1,6.8,5.36,5.58,108.5,107.1,14.5,14.7,28.16,1581.65
4/1/2020 0:00,90,3.2,10.5,94.8,1.5,7.4,5.52,5.82,110.4,108.2,14.5,14.1,28.94,1687.68
5/1/2020 0:00,91.6,1.7,11.2,95.9,1.2,8.4,5.61,5.89,112.3,109.2,14.5,14,33.54,1710.4
6/1/2020 0:00,92.5,1,11.1,98.4,2.6,9.5,5.64,5.92,114.3,110.2,14.5,14,41.39,1728
7/1/2020 0:00,93,0.6,11.3,100,1.7,9.3,5.67,5.84,116.2,111.2,14.5,14,43.01,1833.21
8/1/2020 0:00,92.6,-0.4,10.4,100.9,0.9,9,5.68,5.81,118.1,112.2,14.5,14,44.64,1915.5
9/1/2020 0:00,92.5,-0.2,10.3,101.1,0.2,9.7,5.7,5.82,120.1,113.2,14.5,14,41.55,1919.22
10/1/2020 0:00,92.6,0.2,10.1,101.4,0.3,8.4,5.71,5.84,122,114.3,14.5,14,42.09,1897.91
11/1/2020 0:00,92.9,0.3,9.8,101.5,0,8.1,5.71,5.89,123.9,115.3,14.5,14.1,43.65,1860.39
12/1/2020 0:00,93.8,0.9,10.5,102,0.6,7,5.72,5.93,125.9,116.3,14.5,14.1,50.3,1860.72
1/1/2021 0:00,94.7,0.9,9.9,105.3,3.1,8.7,5.77,5.9,100,100,14.5,14.1,55.41,1861.24
2/1/2021 0:00,95.4,0.8,10.3,105.2,-0.1,10.3,5.76,5.83,100,100,14.5,13.6,63.59,1798.08
3/1/2021 0:00,96.2,0.9,10.3,101.3,-3.7,8.5,5.73,5.76,100,100,14.5,13,66.72,1728.06
4/1/2021 0:00,97.7,1.5,8.5,101.1,-0.2,6.7,5.73,5.78,103.7,104.9,14.5,12.8,65.96,1760.68
5/1/2021 0:00,98.4,0.8,7.5,105,3.8,9.5,5.73,5.79,103.7,104.9,13.5,12.8,68.18,1879.71
6/1/2021 0:00,99.7,1.3,7.8,106.3,1.2,8,5.75,5.83,103.7,104.9,13.5,12.6,72.59,1829.31
7/1/2021 0:00,101.3,1.6,9,107.8,1.5,7.8,5.78,5.93,105.2,109.8,13.5,12.6,75.44,1809.63
8/1/2021 0:00,101.6,0.3,9.7,108,0.1,7,5.83,6.01,105.2,109.8,13.5,12.5,69.61,1789.58
9/1/2021 0:00,102.2,0.6,10.6,110,1.9,8.8,5.86,6.07,105.2,109.8,13.5,12.5,73.97,1777.43
10/1/2021 0:00,102.9,0.6,11,113.2,2.9,11.6,5.88,6.09,111.4,114.3,13.5,12.5,82.96,1777.7
11/1/2021 0:00,104.3,1.4,12.3,113.5,0.3,11.9,5.91,6.24,111.4,114.3,14.5,12.5,83.14,1824.1
12/1/2021 0:00,105.6,1.2,12.6,114.4,0.8,12.1,5.95,6.37,111.4,114.3,14.5,12.5,75.13,1795.07
1/1/2022 0:00,107.8,2.1,13.9,118,3.2,12.1,6.01,6.46,128.7,129.2,14.5,12.6,85.55,1820.19
2/1/2022 0:00,110.4,2.4,15.7,127.7,8.2,21.4,6.31,6.83,128.7,129.2,14.5,12.8,93.68,1864.86
3/1/2022 0:00,114.9,4,19.4,144.6,13.3,42.8,7.05,7.8,128.7,129.2,17,13.5,115.93,1929.11
4/1/2022 0:00,120.8,5.1,23.6,147.8,2.2,46.2,7.11,7.71,148.2,148.3,17,16.2,106.66,1878.84
5/1/2022 0:00,125.7,4.1,27.6,148.4,0.4,41.3,7.13,7.8,148.2,148.3,19,19.1,111.55,1793.44
6/1/2022 0:00,129.4,3,29.8,150.5,1.5,41.6,7.19,8.02,148.2,148.3,19,24.1,117.21,1781.78
7/1/2022 0:00,133.5,3.1,31.7,147.6,-1.9,36.9,7.39,8.27,154.7,172.8,19,26.2,107.48,1676.42
8/1/2022 0:00,136,1.9,33.9,152.3,3.1,41,8.06,9.5,154.7,172.8,22,27.7,98.58,1713.93
9/1/2022 0:00,140.6,3.3,37.5,160.5,5.4,45.8,8.75,10.07,154.7,172.8,22,29.7,91.27,1632.76
10/1/2022 0:00,144.4,2.7,40.4,185,15.3,63.5,11.17,12.28,210.3,227.5,24.5,31.5,95,1607.32
11/1/2022 0:00,156.8,8.6,50.3,204.9,10.8,80.5,13.07,14.18,210.3,227.5,27,34.6,89.82,1683.08
12/1/2022 0:00,162.8,3.8,54.1,177.8,-13.2,55.4,10.03,11.63,210.3,227.5,27,35.5,82.63,1741.1
1/1/2023 0:00,165.6,1.7,53.6,179.7,1.1,52.2,9.91,12.23,195.9,198.3,28,35.6,84.9,1836.2
2/1/2023 0:00,168.7,1.9,52.8,192.2,7,50.6,10.86,12.6,195.9,198.3,28,35.7,80.21,1776.47
3/1/2023 0:00,166.6,-1.2,45,192.8,0.3,33.3,11.01,12.45,195.9,198.3,29.5,20.4,79.2,1853.6
4/1/2023 0:00,170.6,2.4,41.2,198.2,2.8,34.1,10.95,11.53,203.3,201.1,29.5,19.7,81.15,1918.43
5/1/2023 0:00,178.7,4.8,42.2,193,-2.6,30.1,10.92,11.56,203.3,201.1,29.5,20.4,75.61,1879.29
6/1/2023 0:00,184.4,3.2,42.5,194.3,0.7,29.1,10.98,11.68,203.3,201.1,29.5,21.8,74.24,1808.03
7/1/2023 0:00,191,3.6,43.1,196,0.9,32.7,11,11.65,210.8,203.3,30,24.6,81.79,1818.32
8/1/2023 0:00,190.6,-0.2,40.1,195.1,-0.4,28.1,11.01,11.42,210.8,203.3,30,26.3,85.28,1787.06
9/1/2023 0:00,194.2,1.9,38.1,200.5,2.8,24.9,11.06,11.52,210.8,203.3,30,28.2,93.05,1771.99
10/1/2023 0:00,194.8,0.3,34.9,202.7,1.1,9.5,11.34,11.89,218.7,214.6,30,29.4,88.28,1844.47
11/1/2023 0:00,198.3,1.8,26.4,208.4,2.8,1.7,11.55,12.07,218.7,214.6,30,29.7,81.85,1863.85
12/1/2023 0:00,200.6,1.2,23.2,207,-0.7,16.4,11.65,12.15,218.7,214.6,30,29.4,76.08,1925.48
1/1/2024 0:00,204.6,2,23.5,210.4,1.7,17.1,11.93,12.29,235.8,221.1,29,28.9,79.13,1896.1
2/1/2024 0:00,207.8,1.6,23.2,215,2.2,11.9,12.23,12.59,235.8,221.1,29,27.9,82.65,1906.27
3/1/2024 0:00,209.6,0.8,25.8,221.9,3.2,15.1,12.67,13.2,235.8,221.1,29,26.4,84.63,2035.08
4/1/2024 0:00,213.3,1.8,25.1,231,4.1,16.5,13.04,13.59,285.7,239,29,25.7,89.03,2210.37
5/1/2024 0:00,220,3.2,23.1,238.1,3.1,23.4,13.78,14.69,285.7,239,29,25.2,83.2,2242.13
6/1/2024 0:00,226.4,2.9,22.8,244,2.5,25.6,14.33,15.27,285.7,239,29,24.9,81.38,2205.9
7/1/2024 0:00,231,2,20.9,252.9,3.7,29,14.75,15.68,323.7,256.8,29,24.8,85.3,2398
8/1/2024 0:00,229.4,-0.7,20.4,259.8,2.7,33.2,15.1,16.15,323.7,256.8,29,24.8,80.9,2470
9/1/2024 0:00,235.8,2.8,21.5,261.6,0.7,30.5,15.56,16.28,323.7,256.8,27,25,74.3,2571
10/1/2024 0:00,237.8,0.9,22.1,269.5,3,33,15.99,16.91,358.7,257.9,27,25.8,75.7,2690
11/1/2024 0:00,243.9,2.6,23,264.5,-1.8,26.9,15.98,16.69,358.7,257.9,27,26.9,74.4,2651
12/1/2024 0:00,248.3,1.8,23.8,261,-1.3,26.1,14.78,16.63,358.7,257.9,27,27.7,73.8,2648
